Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]	Freezing event [flag]
1	0.0078125	0.00931048604410813	-0.36692055762824	0.9844202118152	13.1434373672979	-100.024108982672	47.0793390356233	0
2	0.015625	-0.0482605104381639	-0.345207816489864	1.00516481089113	12.7378824164533	-102.602108610537	46.9157290307153	0
3	0.0234375	-0.120973248838129	-0.351070942924766	1.05685753552355	13.5268243607879	-105.484889514026	42.8694086736887	0
4	0.03125	-0.210835852923699	-0.335831561939858	1.13766731548653	13.1577382409004	-105.093753993645	37.1868195583777	0
5	0.0390625	-0.263694775911865	-0.359739521146445	1.17099686543795	13.2068286243465	-104.01290510189	32.9677469764816	0
6	0.046875	-0.24975692904056	-0.333001722862456	1.22524839039231	10.600076787868	-102.566851027037	14.5013954085333	0
7	0.0546875	-0.0679699317152616	-0.366114946139003	1.24510007301023	7.01350083578958	-103.214458059214	4.24770316489728	0
8	0.0625	0.00292424448643572	-0.392064826391946	1.27026894630251	4.99253549045577	-104.552720813048	4.54110772396438	0
9	0.0703125	0.05380147180902	-0.426863433558325	1.33718075036877	3.8370984586964	-108.241849736855	5.49474069134588	0
10	0.078125	0.095362892690031	-0.516800381075439	1.33409024090597	3.62147330611223	-114.310389187945	13.3868013697509	0
11	0.0859375	0.0288109185673985	-0.473899407319633	1.36075476929348	3.29980387794636	-118.043518835308	16.4524117166865	0
12	0.09375	0.0191021437602867	-0.421602981333536	1.43625819828288	4.26081988842753	-121.64219791539	3.39826196363704	0
13	0.1015625	0.0650013795397564	-0.436093383578238	1.42994705998802	2.55958856949019	-123.576828107157	-3.51594415109334	0
14	0.109375	0.0918086243359149	-0.451120135870034	1.39400661912641	-0.384189264844608	-128.371748983985	-2.45445553156276	0
15	0.1171875	0.0242542060721903	-0.408862611291799	1.43716503647897	-1.43369787300677	-132.304892492039	5.3066929547554	0
16	0.125	-0.0305392625236308	-0.416255950031515	1.41871943120302	-3.13226649068681	-133.5196776949	6.84009398522497	0
17	0.1328125	-0.0787209580491307	-0.406723776648732	1.39920588348035	-9.0575326290925	-134.02721418215	2.15355664649101	0
18	0.140625	-0.0189839743134294	-0.406686051643528	1.26760264507026	-16.5540792512278	-131.972000340541	2.86337877260103	0
19	0.1484375	0.0481367362775249	-0.393999482730962	1.20423263298687	-20.0654498857342	-132.105129655987	4.27159511317469	0
20	0.15625	0.235988425157624	-0.436511971878012	1.06248022488511	-26.940179830252	-128.918800968537	29.3266338837758	0
21	0.1640625	0.173453109440001	-0.289136577520888	0.81957551951226	-38.2045797960917	-126.359819290905	61.0781803236212	0
22	0.171875	0.0815835873193498	-0.24716600632704	0.667453440221819	-40.2973860514352	-126.851979756102	71.5015384210858	0
23	0.1796875	-0.000832488592944991	-0.364013015735584	0.439629702412619	-38.792567556914	-130.87601147872	80.2586565990677	0
24	0.1875	-0.305470692450808	-0.270683883119057	0.290424278795901	-42.3573749573745	-131.697370188989	127.235144482139	0
25	0.1953125	-0.339673733262359	-0.184871873549414	0.255751970890679	-46.3741798159981	-131.63305695853	131.141305870212	0
26	0.203125	0.0653278454698628	-0.0620765442049164	0.317183206088752	-65.7840974288829	-114.964500055519	114.325656582799	0
27	0.2109375	0.84053065634241	-0.00361491910424149	0.366185809503953	-83.4130063166722	-80.3030873054594	123.296622927542	0
28	0.21875	1.09420623272397	-0.0223754991311395	0.399506195886949	-87.7661604372337	-65.227206831174	147.990382712434	0
29	0.2265625	0.780173138081731	-0.181816035626298	0.365928738562686	-97.9110052859126	-53.3232778652696	241.39205543032	0
30	0.234375	0.28442025304567	-0.206866224012096	0.341940601909533	-105.86891478548	-45.5625178166948	297.790877941434	0
31	0.2421875	0.289061215832129	-0.223382765897331	0.365271386558299	-111.11816511065	-39.2051103036899	289.558738777631	0
32	0.25	0.241788208697179	-0.218416026751977	0.526593911870319	-121.198672918803	-22.1789149950845	300.623166331907	0
33	0.2578125	0.18911083825514	-0.206804957041632	0.661686331999291	-134.98062991999	-8.93954296305368	305.791906554201	0
34	0.265625	0.196914050657723	-0.276850577596113	0.69151104510591	-144.026883235492	-3.75871225755538	311.409369142582	0
35	0.2734375	0.0868406173852292	-0.31180700577497	0.673472367440019	-155.199798620338	3.05003958219927	330.816983757656	0
36	0.28125	0.0948938502744466	-0.4825988665103	0.694544504373267	-163.90087016258	5.18518327742216	352.832944262639	0
37	0.2890625	0.108308564209395	-0.53153796649905	0.697411357794822	-166.25952199807	3.13533647734134	366.056432726897	0
38	0.296875	0.204047536379905	-0.71747962928214	0.787692924116146	-169.743230593358	-2.28159809649568	396.509889181457	0
39	0.3046875	-0.00173140931726316	-0.871438726520248	0.86478798736092	-168.267496522164	-13.3468788257868	437.660306977059	0
40	0.3125	-0.0918636772668662	-0.94292797398062	0.871189382881168	-168.562577350009	-17.9240527777631	445.638889999546	0
41	0.3203125	-0.271183735771376	-1.1073675619464	0.79958120187645	-163.588247529161	-28.3443872668801	450.742033758088	0
